word,bpe_result,correct_result,gold_suffix,is_correct,verdict,negation,mode
adaawesiiwaanen,adaawesiiwaanen,adaawe + siiwaanen,siiwaanen,False,Erase,Neg,Dub
adaawewaanen,adaawewaanen,adaawe + waanen,waanen,False,Erase,Pos,Dub
adaawesiiwaambaanen,adaawesiiwaambaanen,adaawe + siiwaambaanen,siiwaambaanen,False,Erase,Neg,DubPrt
adaawewaambaanen,adaawewaambaanen,adaawe + waambaanen,waambaanen,False,Erase,Pos,DubPrt
adaawesiwaan,adaawesiwaan,adaawe + siwaan,siwaan,False,Erase,Neg,Neu
adaaweyaan,adaaweyaan,adaawe + yaan,yaan,False,Erase,Pos,Neu
adaawesiwaambaan,adaawesiwaambaan,adaawe + siwaambaan,siwaambaan,False,Erase,Neg,Prt
adaaweyaambaan,adaaweyaambaan,adaawe + yaambaan,yaambaan,False,Erase,Pos,Prt
adaawesiiwegwen,adaawesiiwegwen,adaawe + siiwegwen,siiwegwen,False,Erase,Neg,Dub
adaawewegwen,adaawewegwen,adaawe + wegwen,wegwen,False,Erase,Pos,Dub
adaawesiiwegobanen,adaawesiiwe | gobanen,adaawe + siiwegobanen,siiwegobanen,False,Distort,Neg,DubPrt
adaawesiiwegibanen,adaawesiiwegibanen,adaawe + siiwegibanen,siiwegibanen,False,Erase,Neg,DubPrt
adaawewegobanen,adaawewe | gobanen,adaawe + wegobanen,wegobanen,False,Distort,Pos,DubPrt
adaawewegibanen,adaawewegibanen,adaawe + wegibanen,wegibanen,False,Erase,Pos,DubPrt
adaawesiweg,adaawesiweg,adaawe + siweg,siweg,False,Erase,Neg,Neu
adaaweyeg,adaaweyeg,adaawe + yeg,yeg,False,Erase,Pos,Neu
adaawesiwegoban,adaawesiwe | goban,adaawe + siwegoban,siwegoban,False,Distort,Neg,Prt
adaawesiwegiban,adaawesiwegiban,adaawe + siwegiban,siwegiban,False,Erase,Neg,Prt
adaaweyegoban,adaaweye | goban,adaawe + yegoban,yegoban,False,Distort,Pos,Prt
adaaweyegiban,adaaweye | giban,adaawe + yegiban,yegiban,False,Distort,Pos,Prt
adaawesiiwanen,adaawesiiwan | en,adaawe + siiwanen,siiwanen,False,Distort,Neg,Dub
adaawewanen,adaawewan | en,adaawe + wanen,wanen,False,Distort,Pos,Dub
adaawesiiwambanen,adaawesii | wambanen,adaawe + siiwambanen,siiwambanen,False,Distort,Neg,DubPrt
adaawewambanen,adaawe | wambanen,adaawe + wambanen,wambanen,True,Preserve,Pos,DubPrt
adaawesiwan,adaawesiwan,adaawe + siwan,siwan,False,Erase,Neg,Neu
adaaweyan,adaaweyan,adaawe + yan,yan,False,Erase,Pos,Neu
adaaweyin,adaaweyi | n,adaawe + yin,yin,False,Distort,Pos,Neu
adaawesiwamban,adaawesi | wam | ban,adaawe + siwamban,siwamban,False,Distort,Neg,Prt
adaaweyamban,adaawey | am | ban,adaawe + yamban,yamban,False,Distort,Pos,Prt
adaawesiinigwen,adaawesiinigwen,adaawe + siinigwen,siinigwen,False,Erase,Neg,Dub
adaawenigwen,adaawenigwen,adaawe + nigwen,nigwen,False,Erase,Pos,Dub
adaawesiinigobanen,adaawesiinigobanen,adaawe + siinigobanen,siinigobanen,False,Erase,Neg,DubPrt
adaawenigobanen,adaawenigobanen,adaawe + nigobanen,nigobanen,False,Erase,Pos,DubPrt
adaawesinid,adaawesinid,adaawe + sinid,sinid,False,Erase,Neg,Neu
adaawesinig,adaawesinig,adaawe + sinig,sinig,False,Erase,Neg,Neu
adaawenid,adaawenid,adaawe + nid,nid,False,Erase,Pos,Neu
adaawesinigoban,adaawesinigoban,adaawe + sinigoban,sinigoban,False,Erase,Neg,Prt
adaawenipan,adaawenipan,adaawe + nipan,nipan,False,Erase,Pos,Prt
adaawesiiwaagwen,adaawesiiwaa | gwen,adaawe + siiwaagwen,siiwaagwen,False,Distort,Neg,Dub
adaawewaagwen,adaawewaa | gwen,adaawe + waagwen,waagwen,False,Distort,Pos,Dub
