Paradigm,Order,Class,Lemma,Stem,Head,Subject,Object,Mode,Negation,Form1Surface,Form1Split,Form1Source,Form2Surface,Form2Split,Form2Source,Form3Surface,Form3Split,Form3Source
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Dub,Neg,adaawesiiwaanen,<<adaawe>>siiwaanen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Dub,Pos,adaawewaanen,<<adaawe>>waanen,JDN-2010-MS-VTI-p35,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,DubPrt,Neg,adaawesiiwaambaanen,<<adaawe>>siiwaambaanen,JDN-2010-MS-VTI-p40,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,DubPrt,Pos,adaawewaambaanen,<<adaawe>>waambaanen,JDN-2010-MS-VTI-p39,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Neu,Neg,adaawesiwaan,<<adaawe>>siwaan,JDN-2010-MS-VTI-p28,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Neu,Pos,adaaweyaan,<<adaawe>>yaan,JDN-2010-MS-VTI-p27,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Prt,Neg,adaawesiwaambaan,<<adaawe>>siwaambaan,JDN-2010-MS-VTI-p32,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,1SgSubj,0PlObj,Prt,Pos,adaaweyaambaan,<<adaawe>>yaambaan,JDN-2010-MS-VTI-p31,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Dub,Neg,adaawesiiwegwen,<<adaawe>>siiwegwen,JDN-2010-MS-VTI-p36,,,,,,
VAIO,Cnj,VAIO,adaawen,adaawe,NONE,2PlSubj,0PlObj,Dub,Pos,adaawewegwen,<<adaawe>>wegwen,JDN-2010-MS-VTI-p35,,,,,,
